1	-39	11111111111111111111111111011001	FFFFFFD9
2	-36	11111111111111111111111111011100	FFFFFFDC
3	8	1000	8
4	34	100010	22
5	17	10001	11
6	49	110001	31
7	5	101	5
8	ABC	#VALUE!	#VALUE!
9	0	0	0
10	33	100001	21
11	12	1100	C
12	-6	11111111111111111111111111111010	FFFFFFFA
13	27	11011	1B
14	-4	11111111111111111111111111111100	FFFFFFFC
15	-38	11111111111111111111111111011010	FFFFFFDA
16	26	11010	1A
17	49	110001	31
18	29	11101	1D
19	42	101010	2A
20	-16	11111111111111111111111111110000	FFFFFFF0
21	ERR	#VALUE!	#VALUE!
22	34	100010	22
23	20	10100	14
24	0	0	0
25	25	11001	19
26	45	101101	2D
27	3	11	3
28	-46	11111111111111111111111111010010	FFFFFFD2
29	-46	11111111111111111111111111010010	FFFFFFD2
30	29	11101	1D
31	33	100001	21
32	29	11101	1D
33	26	11010	1A
34	-5	11111111111111111111111111111011	FFFFFFFB
35	-36	11111111111111111111111111011100	FFFFFFDC
36	12	1100	C
37	45	101101	2D
38	-50	11111111111111111111111111001110	FFFFFFCE
39	0	0	0
40	-6	11111111111111111111111111111010	FFFFFFFA
41	VAL	#VALUE!	#VALUE!
Elapsed time: 0.000299 seconds
